p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Top2a	6.81512424506685e-36	-0.0486209884975059	0.486	0.003	1.36302484901337e-32
Ccdc138	6.81512424506685e-36	0.00114736698909312	0.486	0.003	1.36302484901337e-32
Npy5r	1.43623863267329e-35	-0.103812569141395	0.542	0.017	2.87247726534658e-32
Slitrk2	2.43837161526991e-35	0.0309150099645756	0.519	0.007	4.87674323053982e-32
Grik5	2.77616258270575e-35	0.158586398457492	0.556	0.017	5.55232516541149e-32
Wdr20	2.909149826253e-35	0.292774698195469	0.569	0.007	5.818299652506e-32
Slfn4	5.00755416126608e-35	-0.129077984180578	0.468	0.007	1.00151083225322e-31
Necab2	7.27891068328239e-35	0.108188109446725	0.556	0	1.45578213665648e-31
Frmd6	1.02687773075111e-34	-0.0375265120540053	0.556	0.007	2.05375546150223e-31
Exosc3	1.15966769090203e-34	-0.041429243215698	0.463	0.003	2.31933538180405e-31
Spry4	1.34943184516283e-34	-0.0114660382681816	0.528	0.003	2.69886369032565e-31
Calb1	1.50542400210029e-34	-0.0813195506796308	0.556	0.014	3.01084800420057e-31
Sorcs2	1.56107028792684e-34	-0.00378786317987099	0.509	0.003	3.12214057585369e-31
Noct	1.56798740400816e-34	0.00707590167931852	0.491	0.003	3.13597480801631e-31
Cyyr1	1.73553236603434e-34	-0.0791186511460485	0.519	0.007	3.47106473206869e-31
Zbtb47	2.24044824250925e-34	-0.036803164556768	0.528	0.014	4.48089648501849e-31
Eng	3.46172645186567e-34	0.0111725986507833	0.514	0	6.92345290373134e-31
Tmem72	6.12729819643818e-34	0.0375835457064345	0.556	0.007	1.22545963928764e-30
Fastkd1	7.00014307134294e-34	-0.00657525250253185	0.565	0.014	1.40002861426859e-30
Lrfn3	8.48587916245346e-34	0.0288177045139403	0.463	0	1.69717583249069e-30
Dcxr	1.08417502631456e-33	-0.0114860580518283	0.509	0.003	2.16835005262911e-30
Stap2	1.21756083988524e-33	0.00209625897094846	0.528	0.01	2.43512167977049e-30
Map4k5	2.00944408065029e-33	-0.106192624645263	0.546	0.024	4.01888816130059e-30
Ptpn13	7.23078504509974e-33	-0.0154605443903838	0.509	0.003	1.44615700901995e-29
Hpcal4	9.46946528469582e-33	-0.0171992587558753	0.481	0.007	1.89389305693916e-29
Acer2	1.51387278368053e-32	-0.0359925451629203	0.44	0.003	3.02774556736107e-29
Lmo7	1.93765189970735e-32	0.144406142345452	0.486	0	3.8753037994147e-29
C1s	1.99508878666774e-32	-0.0111201565781566	0.458	0.003	3.99017757333547e-29
Zfp964	2.20505973699547e-32	0.00890411026548286	0.477	0.003	4.41011947399094e-29
Phactr3	2.33576561594038e-32	0.406297023222548	0.583	0.031	4.67153123188075e-29
Kit	2.36926474499643e-32	-0.0123367576020429	0.495	0.007	4.73852948999286e-29
Dmwd	2.95765072059789e-32	-0.130663148834079	0.505	0.014	5.91530144119579e-29
Pllp	4.0831601652647e-32	0.0299538555874297	0.509	0	8.1663203305294e-29
Gbp5	5.77971488794155e-32	0.0214860365327567	0.472	0.003	1.15594297758831e-28
Rab11fip3	5.89067325603632e-32	-0.0191374824411589	0.454	0.007	1.17813465120726e-28
Lsr	6.57681027413518e-32	-0.128998524324663	0.481	0.007	1.31536205482704e-28
Adgrf5	8.30647223590367e-32	0.00395684295566531	0.421	0.003	1.66129444718073e-28
Tbc1d30	8.7351864110412e-32	-0.121702118292708	0.56	0.021	1.74703728220824e-28
Ercc6	1.45906303802797e-31	0.0552578187835998	0.546	0.007	2.91812607605595e-28
Wdr17	1.88020081549593e-31	-0.0715336102721002	0.505	0.014	3.76040163099186e-28
Ppm1f	4.04413716841303e-31	-0.00604156990467592	0.463	0.003	8.08827433682606e-28
Gatb	4.66434471698248e-31	-0.134282118203303	0.491	0.01	9.32868943396496e-28
Mdfic	5.74557277551475e-31	-0.122187709743488	0.472	0.014	1.14911455510295e-27
Angptl4	1.03371615256106e-30	-0.0086662900465168	0.546	0.014	2.06743230512211e-27
Bgn	1.10599775510905e-30	-0.073093972386084	0.495	0.01	2.21199551021811e-27
Cenpw	1.12622005936631e-30	-0.0496354581096441	0.449	0.007	2.25244011873262e-27
Pmepa1	1.93839740181893e-30	-0.115330793989444	0.565	0.034	3.87679480363787e-27
Abca8	2.26068260650045e-30	0.0163250701654418	0.491	0.003	4.5213652130009e-27
Plscr1	2.51942120309153e-30	0.00149522026507873	0.454	0	5.03884240618306e-27
AABR07001905.1	2.67112141425951e-30	-0.0247018136122679	0.472	0.003	5.34224282851901e-27
Vcam1	2.67112141425951e-30	0.0019540498651585	0.472	0.003	5.34224282851901e-27
Zfp37	4.70821026637382e-30	0.072261275592825	0.556	0.017	9.41642053274763e-27
Sncaip	5.55541290398233e-30	-0.0513213357904362	0.537	0.007	1.11108258079647e-26
Cdh8	5.66305683977792e-30	-0.0958209592660625	0.546	0.014	1.13261136795558e-26
Ccdc149	6.34295853100536e-30	0.00311879020272917	0.468	0	1.26859170620107e-26
Rgs16	6.95860432217405e-30	0.0381029470773245	0.468	0.003	1.39172086443481e-26
Dlg2	1.0915270660234e-29	-0.0582549259389011	0.509	0.007	2.18305413204681e-26
AABR07036336.1	1.16378972322149e-29	-0.00209035126047752	0.5	0.003	2.32757944644298e-26
Mrgprb5	1.59199760376463e-29	-0.0334502722655733	0.532	0.01	3.18399520752926e-26
Cav2	1.69245308459408e-29	-0.038060491644595	0.481	0.007	3.38490616918815e-26
Epas1	2.73943760202885e-29	-0.0789235365343046	0.523	0.017	5.4788752040577e-26
ENSRNOG00000054017	2.97241205403043e-29	0.00922658742863046	0.37	0	5.94482410806085e-26
Alg8	2.9963680839648e-29	0.0859552466805665	0.528	0	5.99273616792959e-26
Hoxb2	4.66452919525479e-29	-0.014363780107419	0.458	0.003	9.32905839050958e-26
AABR07034438.1	4.66452919525479e-29	-0.00887334939315584	0.458	0.003	9.32905839050958e-26
Pde2a	6.14207366578898e-29	0.0278639066873825	0.542	0.01	1.2284147331578e-25
Baz2b	6.91621523833207e-29	-0.15762096438557	0.56	0.028	1.38324304766641e-25
Fyb1	1.23284226290617e-28	-0.0202487671874039	0.444	0.003	2.46568452581234e-25
Tlk1	1.25540514173768e-28	-0.137964024032433	0.472	0.01	2.51081028347535e-25
Ptpn2	1.30455056902761e-28	0.0758705522364582	0.546	0.014	2.60910113805522e-25
Cyp2d4	1.54683462356234e-28	0.35280877587032	0.495	0	3.09366924712468e-25
Gbp7	1.72637934867318e-28	-0.0188390418755487	0.546	0.021	3.45275869734635e-25
Gpx3	2.34095312673257e-28	0.139312977310734	0.588	0.048	4.68190625346514e-25
Abraxas1	2.68656428386666e-28	0.0040715610308344	0.458	0	5.37312856773333e-25
Tfeb	3.11888001523699e-28	-0.017152322310411	0.431	0.003	6.23776003047399e-25
Atp1a2	3.14182093231748e-28	-0.0297482363923026	0.519	0.014	6.28364186463496e-25
Matn2	3.14182093231748e-28	-0.0533948048702539	0.519	0.014	6.28364186463496e-25
Egfl7	3.98945003766996e-28	-0.139408075031477	0.542	0.017	7.97890007533993e-25
Birc3	4.00530035180927e-28	0.0345755828248875	0.523	0	8.01060070361855e-25
Ncam2	5.98172260265154e-28	0.0976510787913021	0.556	0.024	1.19634452053031e-24
Tekt1	7.3414406854384e-28	0.00586409300047051	0.444	0	1.46828813708768e-24
Zfhx3	8.52104002455995e-28	0.00107670676125922	0.528	0.003	1.70420800491199e-24
Ifitm1	1.24494679873572e-27	0.0623912243316737	0.597	0.059	2.48989359747144e-24
Cyba	1.4721490098375e-27	-0.042022402505761	0.509	0.003	2.94429801967499e-24
Cdkn1c	1.9060940003605e-27	0.00476692511456519	0.421	0	3.81218800072101e-24
Cd302	3.93565189408113e-27	0.0981725915921346	0.505	0.007	7.87130378816226e-24
Stk32a	4.27900287951573e-27	0.196857327962512	0.505	0.01	8.55800575903145e-24
Klhdc8b	4.73070332048877e-27	-0.107918302599174	0.556	0.034	9.46140664097754e-24
Ezh2	4.73697826211585e-27	-0.119882813225398	0.537	0.017	9.4739565242317e-24
Smagp	4.77949665328105e-27	-0.0145061886261469	0.444	0.003	9.5589933065621e-24
Litaf	5.54943000468518e-27	-0.0346730224139588	0.556	0.038	1.10988600093704e-23
Rdh10	9.72237995420996e-27	-0.0725121443932228	0.509	0.014	1.94447599084199e-23
Pde1a	9.75682959254848e-27	0.0283629720612372	0.56	0.041	1.9513659185097e-23
Rnd1	1.04292986127638e-26	-0.0264806230100513	0.532	0.014	2.08585972255276e-23
Tgif1	1.20640243943277e-26	-0.0250852722780795	0.44	0.003	2.41280487886553e-23
Apoc1	1.59610223701229e-26	0.0532178791249994	0.481	0.007	3.19220447402458e-23
Dcn	1.91922562707108e-26	-0.0445742230091075	0.37	0.003	3.83845125414215e-23
Syt6	2.30741584493727e-26	-0.0505610728716525	0.528	0.01	4.61483168987454e-23
Fbrsl1	3.03249435552723e-26	-0.0120410849439054	0.435	0.003	6.06498871105446e-23
Ndst3	3.29272573884639e-26	-0.0414223873880177	0.486	0.007	6.58545147769277e-23
Psmb9	3.92423111323712e-26	-0.0354806679124445	0.486	0.014	7.84846222647424e-23
S1pr3	5.68951667734963e-26	-0.252897330054652	0.542	0.028	1.13790333546993e-22
Ucn2	7.29942040799741e-26	0.00185800334867021	0.394	0	1.45988408159948e-22
Cx3cl1	7.41019046931246e-26	-0.0525430345817304	0.44	0.007	1.48203809386249e-22
Ankrd39	7.8327526174232e-26	0.00449244217037477	0.412	0	1.56655052348464e-22
Il15ra	1.20475250756068e-25	0.00558754593874538	0.519	0.003	2.40950501512136e-22
Col14a1	2.29154117516566e-25	0.101074673614725	0.523	0.007	4.58308235033132e-22
Cttnbp2nl	2.5103390548781e-25	-0.040265814734676	0.523	0.01	5.02067810975619e-22
Hbb	2.52421845344204e-25	-0.161902950646389	0.532	0.021	5.04843690688408e-22
Cxcl2	3.25737993509254e-25	-0.045929068093939	0.458	0.01	6.51475987018508e-22
AABR07053516.1	4.32866091195881e-25	-0.00730719538303872	0.431	0.003	8.65732182391761e-22
Ppfibp1	4.71661142669736e-25	0.107209801509002	0.528	0.014	9.43322285339473e-22
Rsad2	6.22601904236314e-25	-0.0463260364553791	0.463	0.007	1.24520380847263e-21
Clcn5	8.69876665559785e-25	-0.0674010126905455	0.509	0.01	1.73975333111957e-21
Col1a1	9.5863892042023e-25	-0.00134618754073556	0.435	0.003	1.91727784084046e-21
Osgin1	1.07104745880833e-24	-0.0260028865759771	0.426	0.003	2.14209491761665e-21
Lix1	1.08251343659135e-24	0.0677455799933889	0.523	0.01	2.16502687318271e-21
Isg15	1.19282418446376e-24	-0.124581724614041	0.542	0.034	2.38564836892751e-21
Arhgap29	1.20844291494317e-24	-0.141373885003353	0.523	0.014	2.41688582988635e-21
Prom1	1.21055340077413e-24	-0.0131296235788107	0.389	0.003	2.42110680154825e-21
Ankrd13d	1.21832853068445e-24	-0.128627670011165	0.523	0.014	2.43665706136891e-21
Wnt4	1.83209230744968e-24	-0.0096805427962148	0.505	0.003	3.66418461489936e-21
Chd5	1.95274427996937e-24	-0.268483238947605	0.588	0.079	3.90548855993874e-21
Sostdc1	2.12381118379586e-24	0.00675600616693761	0.44	0.007	4.24762236759173e-21
Aif1l	2.13893649368737e-24	0.00169772826054675	0.356	0	4.27787298737473e-21
Rgl1	2.28823621830742e-24	0.0118903843767412	0.472	0.003	4.57647243661485e-21
Fam92b	2.29966379328137e-24	0.154471517163001	0.519	0.003	4.59932758656274e-21
Rsph9	2.38486017979022e-24	0.0433934086121753	0.431	0.007	4.76972035958043e-21
Negr1	2.49200934536025e-24	-0.215990902591048	0.546	0.038	4.98401869072049e-21
Rad51ap1	2.70483109972325e-24	-0.0447162950222819	0.519	0.01	5.40966219944649e-21
Cdc42ep5	2.93317378958376e-24	-0.11035294994734	0.519	0.014	5.86634757916751e-21
Egfl8	4.85021368998781e-24	-0.105862440522225	0.551	0.045	9.70042737997562e-21
Arid5a	5.52055874393525e-24	0.0300224546914723	0.468	0.003	1.10411174878705e-20
Gulp1	5.8030939641692e-24	-0.00969203776492689	0.426	0.003	1.16061879283384e-20
Grxcr2	6.07855159259641e-24	0.0231674733771573	0.514	0.007	1.21571031851928e-20
Pcdh19	1.09838142832447e-23	-0.0722104546713866	0.44	0.007	2.19676285664893e-20
Dleu7	1.19224966582846e-23	0.00875171366557612	0.519	0.014	2.38449933165691e-20
Blm	1.30687881866088e-23	0.120318168878021	0.509	0	2.61375763732177e-20
Mmd2	2.23584544275776e-23	-0.20322991883785	0.542	0.041	4.47169088551552e-20
Cfh	2.72903544479105e-23	-0.0138660737378245	0.468	0.007	5.45807088958209e-20
Prx	3.30670128656922e-23	0.000363980702986777	0.31	0	6.61340257313844e-20
Ccl4	3.60662619136251e-23	-0.0481687561122051	0.352	0.003	7.21325238272501e-20
Sectm1b	3.64156970094248e-23	0.000741746387392939	0.352	0	7.28313940188496e-20
Gast	4.36417517739677e-23	-0.00657489872643115	0.389	0.003	8.72835035479355e-20
Amigo2	5.16559884119206e-23	-0.280597398705224	0.537	0.038	1.03311976823841e-19
Prrg2	5.36605992474346e-23	-0.0995314225383115	0.44	0.007	1.07321198494869e-19
Camk2a	1.05211364409581e-22	-0.13678285702848	0.523	0.024	2.10422728819162e-19
Tmem164	1.06853334835682e-22	-0.0890378921757148	0.523	0.024	2.13706669671364e-19
S1pr1	1.07922386233802e-22	0.00569246938557106	0.491	0	2.15844772467604e-19
Srgap2	1.14588062017799e-22	-0.102838692997868	0.514	0.014	2.29176124035598e-19
Zfp512	1.32898718889202e-22	-0.0272785246512743	0.537	0.031	2.65797437778404e-19
Rtp4	1.67107531277064e-22	0.280828582168401	0.519	0.01	3.34215062554129e-19
Il31ra	1.78193074345447e-22	-0.0373925466841993	0.333	0.003	3.56386148690893e-19
Cxcl1	1.78885399141455e-22	-0.188768330736499	0.537	0.038	3.57770798282911e-19
Fxyd5	2.00202334206585e-22	-0.0901504570228691	0.528	0.031	4.0040466841317e-19
ENSRNOG00000047321	2.13093778592987e-22	-0.0515754892648285	0.519	0.021	4.26187557185975e-19
Atp11b	2.26642674520482e-22	-0.159098130684764	0.519	0.021	4.53285349040965e-19
Kif18a	2.3799786873764e-22	0.0257445453808788	0.44	0	4.7599573747528e-19
Lmo2	3.11860125718954e-22	0.0249482184394653	0.463	0.014	6.23720251437909e-19
Tstd1	3.52203540081322e-22	-0.148148107488589	0.532	0.034	7.04407080162644e-19
Eif4ebp1	4.67974257315601e-22	-0.0242705225739904	0.514	0.017	9.35948514631202e-19
Fbn1	5.00854926926287e-22	-0.0291865918223488	0.468	0.003	1.00170985385257e-18
Serpinb6b	5.15034727547899e-22	4.92252135529534e-05	0.338	0	1.0300694550958e-18
Sox5	5.3116730444812e-22	0.0465159294993654	0.505	0.003	1.06233460889624e-18
Larp1	5.62799824957445e-22	0.0129031489812754	0.505	0.007	1.12559964991489e-18
Gfm2	5.71545432141564e-22	-0.0311351495079646	0.505	0.007	1.14309086428313e-18
LOC102549817	6.01774523433852e-22	-0.0982258133865205	0.435	0.007	1.2035490468677e-18
Zfp260	8.64124784423003e-22	-0.0143743431151345	0.417	0.003	1.72824956884601e-18
Ppard	1.15591745750102e-21	0.0718543444217398	0.398	0	2.31183491500204e-18
Gria4	1.18216796273765e-21	0.0512725882650859	0.463	0.003	2.3643359254753e-18
Gpm6b	1.59442869628313e-21	-0.0944467524937672	0.523	0.031	3.18885739256626e-18
Gmfg	2.12895552128557e-21	0.0585658366939596	0.505	0.007	4.25791104257114e-18
Metrnl	3.09244845826365e-21	-0.0554933967665995	0.384	0.007	6.18489691652729e-18
Ppp1r9a	3.49188360395176e-21	0.197300225118327	0.509	0.01	6.98376720790353e-18
Tubb6	3.84945164426222e-21	-0.0407530500470945	0.509	0.014	7.69890328852445e-18
S100a8	4.76761329501112e-21	-0.309418664811037	0.495	0.028	9.53522659002223e-18
Adgrg2	4.95120726520047e-21	-0.0543936591771809	0.44	0.007	9.90241453040094e-18
Gprc5c	5.09173492920437e-21	-0.0132969090399625	0.5	0.007	1.01834698584087e-17
Kif20b	5.1302253854987e-21	-0.0415734944954661	0.5	0.007	1.02604507709974e-17
Ifih1	5.15878184217776e-21	-0.00254950144387778	0.523	0.028	1.03175636843555e-17
Rprm	6.44348189656874e-21	-0.371428874970118	0.542	0.055	1.28869637931375e-17
Tysnd1	8.59719616085202e-21	0.0330594061142494	0.468	0.007	1.7194392321704e-17
Eef2k	8.95980815480114e-21	-0.0539655528339163	0.505	0.014	1.79196163096023e-17
Rp2	9.15816449649315e-21	0.000133554769932743	0.269	0	1.83163289929863e-17
Psmc3ip	1.14923419860025e-20	0.018576453898359	0.495	0.003	2.29846839720051e-17
Dot1l	1.14923419860025e-20	-0.0171495092651021	0.495	0.003	2.29846839720051e-17
Cox15	1.19304344494969e-20	-0.0611629442734805	0.495	0.007	2.38608688989937e-17
Alox5ap	1.19304344494969e-20	-0.0528308548306908	0.495	0.007	2.38608688989937e-17
Cd83	1.2024346468646e-20	0.289685804066248	0.509	0.01	2.40486929372919e-17
Zfhx2	1.35809579471791e-20	0.0896923639261799	0.509	0.014	2.71619158943582e-17
Fbxo32	1.39396291952039e-20	0.0382241006940555	0.472	0	2.78792583904077e-17
Acot1	1.48716953514112e-20	-0.204133502591545	0.481	0.028	2.97433907028224e-17
Fgf2	1.8490410605508e-20	-0.0934076409488081	0.486	0.014	3.6980821211016e-17
Qtrt1	1.98434549061036e-20	-0.0773457745905924	0.5	0.01	3.96869098122072e-17
Fabp7	2.0708862132963e-20	0.0546427175520342	0.44	0.007	4.14177242659261e-17
Plat	2.65920130294025e-20	0.0873157590104473	0.491	0.007	5.3184026058805e-17
Wfdc15b	2.72244240087517e-20	-0.113091003172758	0.398	0.007	5.44488480175034e-17
Mal	2.7272845749563e-20	-0.0166616670403444	0.431	0.007	5.45456914991261e-17
Tmem63c	2.91611123209737e-20	0.0863755005738553	0.551	0.052	5.83222246419474e-17
Rbpms	4.05694864022065e-20	-0.00309986431004406	0.37	0.003	8.11389728044131e-17
Bcl11a	4.228904483858e-20	-0.050671155753912	0.519	0.031	8.457808967716e-17
Abcg3l3	5.35997155161832e-20	-0.0423247276588861	0.509	0.021	1.07199431032366e-16
Lrat	6.34458426011892e-20	-0.0372817698683483	0.394	0.007	1.26891685202378e-16
RatNP-3b	7.22511431145132e-20	-0.05758161874588	0.269	0.003	1.44502286229026e-16
Lrrk2	7.94573082296945e-20	0.000363013164487131	0.301	0	1.58914616459389e-16
Afap1	1.07790456864621e-19	-0.0047536948154954	0.347	0.003	2.15580913729242e-16
Ackr3	1.09144616036369e-19	-0.0350842118754879	0.338	0.003	2.18289232072738e-16
Ptgds	1.11062852473535e-19	-0.518190136441593	0.551	0.072	2.2212570494707e-16
Pcnt	1.54870835478608e-19	0.00535657958107806	0.495	0.007	3.09741670957216e-16
Ccdc68	1.78892057831375e-19	-0.238667650907876	0.519	0.034	3.57784115662751e-16
Gpr37l1	3.26198717390477e-19	0.00816176119827092	0.477	0.007	6.52397434780953e-16
Giot1	3.54226764839052e-19	-0.0557180366477291	0.491	0.007	7.08453529678103e-16
Tbc1d1	3.54226764839052e-19	-0.0761847622709849	0.491	0.007	7.08453529678103e-16
Thbd	5.81309654220443e-19	-0.112626473469221	0.495	0.014	1.16261930844089e-15
Plekha4	7.14938213442157e-19	-0.14080585698649	0.519	0.041	1.42987642688431e-15
Rph3a	8.49104681038141e-19	0.0612998189427083	0.5	0.017	1.69820936207628e-15
Plpp3	8.88759165295391e-19	-0.0405534203858122	0.5	0.021	1.77751833059078e-15
Mmp14	9.66831711416674e-19	-0.183401947039562	0.5	0.021	1.93366342283335e-15
Myh11	1.09675461843067e-18	0.0809528932193464	0.361	0	2.19350923686133e-15
Rft1	1.3028905887025e-18	-0.0359340743448405	0.44	0.01	2.605781177405e-15
Mmrn2	1.34142671861357e-18	0.0174627816269446	0.417	0.003	2.68285343722714e-15
Zfp300	1.35168633647276e-18	-0.000121500837387756	0.417	0.003	2.70337267294553e-15
Gjc1	1.41524334624594e-18	0.00405145573680104	0.315	0	2.83048669249187e-15
Mns1	2.0321796406198e-18	-0.0982908505398985	0.495	0.017	4.0643592812396e-15
Gprasp1	2.1589216312034e-18	-0.114240587371611	0.532	0.052	4.3178432624068e-15
Zfp521	2.27792701278287e-18	0.00102387748298051	0.398	0	4.55585402556573e-15
Afg3l1	2.81486506200044e-18	-0.104501277691458	0.472	0.017	5.62973012400088e-15
Gda	4.81380602446306e-18	-0.0371486469887133	0.519	0.041	9.62761204892612e-15
Nfil3	5.77486604850686e-18	0.0711886859483411	0.481	0.003	1.15497320970137e-14
Plxnd1	6.54509735377618e-18	-0.0155216154642174	0.495	0.021	1.30901947075524e-14
Pdlim4	9.16235303223435e-18	-0.0214520901190842	0.486	0.01	1.83247060644687e-14
Tesc	1.32296563877895e-17	0.0613795075338613	0.477	0	2.6459312775579e-14
Irf1	1.36718666374235e-17	0.0235154815349415	0.491	0.014	2.7343733274847e-14
Prc1	2.08656399877902e-17	-0.0467110232135683	0.361	0.007	4.17312799755804e-14
Nek8	3.03658712693793e-17	0.00250770278236448	0.343	0	6.07317425387585e-14
Kank1	4.05912078260568e-17	0.0222185488108542	0.306	0	8.11824156521137e-14
RGD1304624	4.30440720863582e-17	0.0296601853448169	0.477	0.003	8.60881441727164e-14
Pik3r4	4.39263883031246e-17	-0.0471509660430843	0.477	0.01	8.78527766062492e-14
LOC102556347	6.10942414180758e-17	0.156459472593022	0.509	0.038	1.22188482836152e-13
Dtwd1	6.264743104468e-17	0.0773718310307359	0.495	0.028	1.2529486208936e-13
Tbc1d20	6.28697604036741e-17	-0.0280791081277399	0.454	0.007	1.25739520807348e-13
Cd48	6.82644455020407e-17	-0.0850802542002643	0.495	0.028	1.36528891004081e-13
Reg3b	8.77783194388265e-17	0.206943917148478	0.486	0.017	1.75556638877653e-13
Sbspon	9.50569101748197e-17	0.00841430107215918	0.472	0	1.90113820349639e-13
Nkain4	1.2474470087317e-16	-0.0111969043812858	0.398	0.01	2.49489401746339e-13
Cox6b2	1.29844012491049e-16	0.00363382846820312	0.375	0.003	2.59688024982098e-13
Serping1	1.37667989740401e-16	0.14977609317537	0.463	0.003	2.75335979480802e-13
Tcf4	1.3823383983643e-16	-0.0234220654177406	0.477	0.007	2.76467679672859e-13
Tst	1.45702083651993e-16	-0.0908375880573657	0.491	0.024	2.91404167303987e-13
AABR07016934.1	1.88711069762968e-16	-0.636591962646111	0.583	0.121	3.77422139525935e-13
Acy3	1.95437613637888e-16	0.0719691263710848	0.481	0.01	3.90875227275775e-13
Igfbp4	1.98674593866609e-16	-0.0366587953090114	0.481	0.014	3.97349187733218e-13
Ssc5d	2.01302182795099e-16	-0.176903945249935	0.481	0.014	4.02604365590198e-13
Zfp105	2.03964023858474e-16	-0.0707980715581485	0.481	0.014	4.07928047716948e-13
LOC691143	2.98203949198351e-16	0.0150869699280481	0.472	0.003	5.96407898396703e-13
Slc43a3	2.98203949198351e-16	0.000792164047559288	0.472	0.003	5.96407898396703e-13
S1pr2	3.07981787139535e-16	0.0393614747835451	0.458	0	6.1596357427907e-13
Ctxn2	3.96967772160917e-16	0.199445998302956	0.491	0.021	7.93935544321834e-13
Map3k2	4.00820370280353e-16	-0.0263238855722429	0.491	0.017	8.01640740560707e-13
Plekha8	4.21288473189441e-16	0.035572363522776	0.477	0.007	8.42576946378882e-13
Cd84	4.29553654295738e-16	0.0195125316310366	0.449	0.01	8.59107308591477e-13
Atad2	5.77427904215836e-16	0.10453643254661	0.481	0.01	1.15485580843167e-12
Scrg1	6.11942203349526e-16	-0.102330003928572	0.481	0.017	1.22388440669905e-12
Fgfr1	7.56491651859573e-16	0.00557224458655941	0.403	0.003	1.51298330371915e-12
Pltp	7.86616731861107e-16	0.00745042332034697	0.25	0	1.57323346372221e-12
Cdh1	9.30877576037978e-16	-0.107445745197472	0.486	0.024	1.86175515207596e-12
AABR07021544.1	1.06320870617352e-15	0.000182509601064714	0.278	0	2.12641741234703e-12
Chrne	1.11199418128606e-15	0.0425017981432922	0.519	0.055	2.22398836257211e-12
Sh3gl3	1.12687292177707e-15	-0.214501871961046	0.579	0.117	2.25374584355414e-12
Galnt14	1.22966109518233e-15	-0.0729288663913233	0.505	0.041	2.45932219036465e-12
Rps6kc1	1.26456725852204e-15	0.0490533864648506	0.477	0.01	2.52913451704407e-12
Zfp711	1.37278321037167e-15	-0.0150768527542869	0.463	0.003	2.74556642074334e-12
Fam107a	1.84368167334155e-15	0.000826338567985501	0.352	0	3.68736334668309e-12
Rin2	1.89888324970149e-15	0.053180299887318	0.468	0.003	3.79776649940297e-12
Ppp1r14c	2.00327603151889e-15	-0.029394779414145	0.454	0.01	4.00655206303778e-12
AABR07068590.2	2.17470214822086e-15	0.000248058078610215	0.301	0	4.34940429644173e-12
Apod	2.49718014301691e-15	-0.00930537964345504	0.486	0.024	4.99436028603383e-12
