id	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Pnma8a	1.12E-08	-0.047674221	0.366	0.12	2.24E-05
Cldn19	1.21E-08	0.001016471	0.486	0.084	2.42E-05
Fbln5	1.29E-08	0.036046518	0.426	0.157	2.58E-05
Itpkc	1.33E-08	-0.062430145	0.431	0.145	2.67E-05
Lrriq1	1.38E-08	0.174553692	0.468	0.181	2.75E-05
Otc	1.39E-08	0.186809812	0.389	0.108	2.78E-05
Phactr3	1.52E-08	0.001248611	0.583	0.277	3.04E-05
Cc2d2a	1.55E-08	0.055239845	0.472	0.229	3.10E-05
Arhgap29	1.77E-08	0.039858597	0.523	0.229	3.54E-05
Trib1	1.84E-08	0.082652663	0.37	0.084	3.67E-05
Iqgap1	1.93E-08	-0.031380872	0.333	0.072	3.86E-05
Ly86	1.95E-08	-0.020255	0.306	0.096	3.89E-05
Mettl25	2.44E-08	0.023399107	0.296	0.06	4.88E-05
Panx3	2.98E-08	-0.116215121	0.255	0.024	5.97E-05
Aar2	3.01E-08	-0.034593187	0.292	0.036	6.01E-05
Perp	3.16E-08	-0.116766188	0.356	0.145	6.31E-05
Cacna1d	3.37E-08	-0.049340948	0.278	0.084	6.74E-05
AC141028.3	4.27E-08	0.002034418	0.407	0.133	8.53E-05
Creb1	4.68E-08	0.049524761	0.278	0.06	9.37E-05
Ccdc149	5.00E-08	0.003157724	0.468	0.096	0.000100043
Tipinl1	5.06E-08	-0.019043858	0.366	0.133	0.000101258
Slc39a10	5.86E-08	-0.010665392	0.403	0.157	0.000117128
Scrt1	6.04E-08	-0.173054122	0.366	0.145	0.000120826
Prom1	7.06E-08	0.00039395	0.389	0.024	0.000141165
Acsl4	7.38E-08	-0.0745703	0.421	0.193	0.000147665
Cks2	7.67E-08	-0.051282915	0.315	0.096	0.000153447
LOC691143	8.53E-08	-0.041906994	0.472	0.193	0.000170596
Mok	8.96E-08	-0.024531246	0.384	0.108	0.000179171
Hmgn5b	9.70E-08	0.019763668	0.287	0.012	0.00019399
Blm	9.93E-08	0.020482987	0.509	0.205	0.000198674
Ppard	1.04E-07	0.034743783	0.398	0.048	0.000208888
Il31ra	1.14E-07	-0.001020045	0.333	0.036	0.000228332
Gem	1.18E-07	0.001005619	0.431	0.205	0.000236061
Scara3	1.21E-07	-0.019482963	0.306	0.096	0.000241166
Stk32c	1.31E-07	0.018931203	0.389	0.133	0.000261736
Xaf1	1.31E-07	-0.026830689	0.361	0.096	0.000262143
Coq8b	1.37E-07	0.040739008	0.287	0.048	0.000274431
Snai2	1.42E-07	-0.089753796	0.301	0.096	0.000283309
ENSRNOG00000054017	1.64E-07	0.007909263	0.37	0.048	0.000327711
Atp11b	1.67E-07	0.026002254	0.519	0.349	0.000333793
Pmfbp1	1.67E-07	-0.067685665	0.296	0.036	0.000334258
Slc8b1	1.72E-07	-0.191235158	0.292	0.096	0.000343514
Cdh9	1.74E-07	0.004980095	0.259	0.036	0.000347415
Maip1	2.02E-07	0.075737212	0.278	0.096	0.000403244
Vamp5	2.31E-07	0.051393054	0.407	0.108	0.000461078
Maff	2.32E-07	0.135416178	0.31	0.108	0.000463688
Crh	2.44E-07	-0.178198775	0.458	0.217	0.000487781
Fam46a	2.56E-07	-0.118495475	0.426	0.193	0.000511854
Kcnc1	2.62E-07	0.013435442	0.444	0.145	0.000524385
Mfge8	2.74E-07	-0.012339024	0.324	0.12	0.000548829
Samhd1	2.96E-07	-0.062346606	0.259	0.084	0.000592148
RGD1311251	3.14E-07	-0.096760153	0.255	0.084	0.000628158
Ssc5d	3.26E-07	-0.055534642	0.481	0.277	0.000651027
Smc2	3.46E-07	-0.004419497	0.449	0.241	0.000692649
Knstrn	3.60E-07	-0.001298602	0.394	0.614	0.000720946
Nppc	4.08E-07	0.000497036	0.514	0.145	0.000815802
Vps52	4.08E-07	-0.023885147	0.389	0.157	0.000816213
Krt7	4.13E-07	0.228287135	0.44	0.241	0.000826727
Ick	4.17E-07	-0.139229952	0.356	0.145	0.000833574
Nuf2	4.32E-07	0.026193268	0.282	0.096	0.000863443
Hbegf	4.91E-07	0.159862202	0.329	0.651	0.000981505
Grik1	5.09E-07	-0.151626548	0.394	0.169	0.001018523
Taf6l	5.16E-07	-0.145009743	0.435	0.205	0.001031949
Slc25a12	5.17E-07	0.01078756	0.463	0.217	0.001034919
Cst12	5.31E-07	0.007076164	0.463	0.241	0.001061642
Pcp4	6.15E-07	-0.098190359	0.412	0.217	0.001229511
Uevld	6.64E-07	-0.056144991	0.324	0.12	0.001327609
Adora2b	6.70E-07	0.012205334	0.273	0.036	0.001340994
Enho	6.79E-07	-0.004248241	0.491	0.289	0.001358599
Fbxo32	7.51E-07	-0.100204868	0.472	0.193	0.001502684
Srrm4	8.00E-07	-0.012842677	0.468	0.265	0.001600292
Car2	8.16E-07	0.070390763	0.301	0.542	0.001632864
Apold1	8.39E-07	-0.197384553	0.356	0.133	0.001678983
Rnd3	9.04E-07	0.00883854	0.375	0.771	0.001807965
Nmt2	9.65E-07	-0.189807771	0.398	0.651	0.001930121
Tarsl2	9.85E-07	-0.120607291	0.306	0.084	0.001969637
Mboat4	9.98E-07	-0.045888276	0.356	0.133	0.00199614
RatNP-3b	1.07E-06	5.65E-05	0.269	0.012	0.002137628
Ret	1.16E-06	-0.362085624	0.449	0.205	0.002313931
Cenpw	1.20E-06	0.007049639	0.449	0.145	0.00240983
Cfh	1.22E-06	-0.220797778	0.468	0.108	0.002431328
Rbp2	1.25E-06	0.028087934	0.426	0.169	0.002494528
Gstt1	1.30E-06	-0.031042111	0.315	0.096	0.002608572
AABR07004228.1	1.31E-06	0.00154746	0.356	0.072	0.0026194
AABR07073134.1	1.42E-06	0.112934068	0.264	0.012	0.002838789
Hoxb7	1.58E-06	-0.110484793	0.292	0.145	0.003153698
Galnt7	1.58E-06	0.016522336	0.282	0.012	0.003165415
Tstd1	1.59E-06	-0.05554489	0.532	0.337	0.003170031
Qtrt1	1.64E-06	0.048327146	0.5	0.217	0.003289821
Klf3	1.78E-06	0.104055005	0.356	0.169	0.003563171
Dgki	1.85E-06	0.119224632	0.431	0.241	0.00369178
Cdc42ep3	1.87E-06	-0.272901303	0.426	0.663	0.003739694
Mbd5	1.99E-06	-0.018048699	0.444	0.241	0.003979988
Sgo2	2.02E-06	-0.001904736	0.282	0.06	0.004045927
Traf3	2.07E-06	0.082704341	0.338	0.096	0.004133804
Nomo1	2.50E-06	-0.02862694	0.333	0.084	0.00499348
Igfbp3	2.67E-06	0.237043844	0.19	0.422	0.005345186
Slc2a1	3.31E-06	-0.066642829	0.269	0.096	0.006626444
Col1a1	3.35E-06	0.023396856	0.435	0.072	0.006701953
Tmcc2	3.47E-06	0.035856223	0.421	0.639	0.006935783
Prx	3.49E-06	-0.000505497	0.31	0.036	0.006971439
Ophn1	3.53E-06	0.173207655	0.417	0.193	0.007065268
Pde12	3.63E-06	0.026614709	0.301	0.108	0.007251322
Fxyd1	4.03E-06	0.113780313	0.426	0.229	0.008059773
Ptger2	4.24E-06	0.031936005	0.282	0.506	0.008478068
Tmem51	4.58E-06	-0.002133198	0.306	0.133	0.009167207
Fam181b	4.84E-06	0.00920154	0.287	0.41	0.009671998
AC141169.2	4.98E-06	0.027537204	0.306	0.084	0.009950088
Rbpms	5.62E-06	0.010303689	0.37	0.036	0.011240499
Gjc1	5.86E-06	0.003719553	0.315	0.024	0.011711357
Luzp1	5.94E-06	0.106925154	0.426	0.229	0.011874227
S1pr1	6.05E-06	-0.082993331	0.491	0.229	0.012106709
Cwc22	6.85E-06	-0.067571789	0.25	0.108	0.01369639
Id3	7.25E-06	-0.062653499	0.458	0.651	0.014508737
Rel	7.25E-06	0.041398995	0.468	0.205	0.014508737
Rad51ap1	8.14E-06	-0.026519124	0.519	0.289	0.016285438
Exoc1l	8.29E-06	0.125320758	0.273	0.554	0.016579114
Stard4	9.32E-06	-0.101794491	0.347	0.145	0.018648163
F12	9.43E-06	0.013210833	0.319	0.482	0.018855383
Ggct	9.52E-06	-0.192502059	0.319	0.133	0.019049946
Rhoj	9.83E-06	0.074267917	0.347	0.096	0.019658284
Col3a1	9.98E-06	0.002211238	0.486	0.169	0.019966913
Rflnb	1.06E-05	0.027794061	0.171	0.446	0.0211726
Mab21l2	1.10E-05	-0.095198316	0.407	0.193	0.021933871
Zfp128	1.19E-05	0.008825194	0.25	0.398	0.023742053
Adam11	1.19E-05	0.031156149	0.384	0.133	0.023883286
Grhpr	1.21E-05	0.07394506	0.236	0.518	0.024211174
Cavin2	1.22E-05	0.232442772	0.412	0.241	0.024477888
RGD1359508	1.23E-05	0.029647011	0.361	0.133	0.024513513
LOC102549817	1.31E-05	-0.035660047	0.435	0.12	0.026270478
Rassf7	1.38E-05	0.032079726	0.468	0.277	0.027572562
Pdlim4	1.49E-05	-0.06402532	0.486	0.241	0.029873942
Tac3	1.62E-05	0.00335064	0.315	0.072	0.032474255
Birc5	1.65E-05	-0.077242358	0.296	0.12	0.032986601
Dok5	1.74E-05	0.001368801	0.319	0.157	0.034776588
Plcd4	1.79E-05	0.018711444	0.426	0.277	0.035770835
Cldn16	1.81E-05	-0.13942897	0.347	0.193	0.036224984
Larp1	1.92E-05	0.015188771	0.505	0.301	0.038321647
AABR07034438.1	2.07E-05	0.000808915	0.458	0.133	0.04137319
Spata6l	2.08E-05	-0.042668593	0.514	0.181	0.041627351
Myo3a	2.12E-05	-4.35E-05	0.421	0.241	0.042463227
Bglap	2.22E-05	0.041079888	0.431	0.627	0.044388316
Birc2	2.25E-05	-0.400127366	0.222	0.458	0.044991994
Rp2	2.30E-05	-0.000433479	0.269	0.036	0.045977002
Sfxn4	2.46E-05	-0.084573858	0.444	0.265	0.049260699
Jak1	2.67E-05	0.460175658	0.606	0.386	0.05332891
Kif20b	2.68E-05	0.002705162	0.5	0.301	0.053532384
Macf1	3.12E-05	0.157756347	0.347	0.205	0.062478111
Ifitm3	3.14E-05	0.119393777	0.347	0.602	0.062898716
Dcn	3.21E-05	-0.092881401	0.37	0.084	0.064158458
Arl13b	3.30E-05	0.083586865	0.361	0.169	0.065975551
Tekt1	3.39E-05	-0.014360308	0.444	0.133	0.067798783
Rdm1	3.41E-05	0.086030359	0.361	0.181	0.068160449
Gpx2	4.00E-05	-0.322167667	0.491	0.819	0.079971709
Exd2	4.00E-05	-0.043573465	0.403	0.241	0.080053522
Cdh13	4.16E-05	-0.045953749	0.338	0.578	0.083204347
Dag1	4.30E-05	0.038962841	0.333	0.12	0.086081135
Foxs1	4.34E-05	0.001551483	0.259	0.024	0.086796831
Fgl2	4.72E-05	0.257219629	0.403	0.663	0.094307998
Ctxn3	5.11E-05	-0.293338646	0.31	0.145	0.102298996
AABR07035428.2	5.22E-05	0.187635738	0.329	0.145	0.104482238
Elf1	5.33E-05	-0.027805481	0.37	0.205	0.10668944
Arid3a	5.35E-05	0.016723239	0.356	0.53	0.10696912
Ppp1r9a	5.39E-05	0.284334601	0.509	0.313	0.107733883
Arhgef18	5.43E-05	-0.015593002	0.38	0.157	0.10869781
Dgkh	5.44E-05	0.503409545	0.509	0.795	0.108758639
Zfp36l1	5.59E-05	-0.156320766	0.38	0.627	0.111896887
Nnat	5.76E-05	0.001618344	0.523	0.301	0.115218941
Sncb	5.78E-05	0.502942308	0.412	0.217	0.115566548
10-Sep	6.82E-05	0.135161906	0.356	0.614	0.136497551
Casr	6.86E-05	-0.031507765	0.375	0.217	0.137246512
Fam92b	7.24E-05	0.164864888	0.519	0.337	0.144810603
AC141102.1	7.40E-05	0.067722742	0.435	0.639	0.147974548
Nrde2	7.54E-05	0.067223916	0.37	0.253	0.150779185
Tmem216	7.59E-05	-0.00362206	0.468	0.289	0.15176351
Pla2g16	7.73E-05	-0.009174886	0.333	0.096	0.154527651
Rab11fip3	7.74E-05	0.006864029	0.454	0.193	0.154763683
Lrrk2	8.17E-05	-0.028240743	0.301	0.048	0.163313005
Calb2	8.40E-05	-0.066304725	0.375	0.494	0.167969879
AABR07021544.1	9.59E-05	-0.00094206	0.278	0.036	0.191716918
Prc1	0.000102985	-0.023964354	0.361	0.108	0.205970742
Spc25	0.000102988	-0.039428021	0.259	0.072	0.205975741
Bgn	0.000105712	0.026299706	0.495	0.169	0.211424876
Arhgap15	0.000107543	0.031486121	0.407	0.217	0.215085492
Gramd1b	0.000110183	0.039784459	0.431	0.217	0.220366436
Cxcl2	0.000110539	-0.254662749	0.458	0.169	0.221078343
Tiparp	0.000112057	0.079385069	0.375	0.169	0.224113057
Brinp2	0.00011812	-0.002494823	0.44	0.277	0.236240871
Wfdc15b	0.000122015	-0.023017879	0.398	0.084	0.244029768
Ch25h	0.000126518	0.037170124	0.296	0.12	0.253036946
Tp53inp1	0.000127309	-0.053153434	0.278	0.145	0.254618433
Ano4	0.000129097	0.193609966	0.375	0.181	0.258193962
Mrgprb4	0.000131143	0.293172436	0.417	0.265	0.262285543
Mbp	0.000133688	0.380245398	0.435	0.253	0.267375861
Igfbp6	0.000135648	0.099569655	0.236	0.446	0.271296765
Rab6b	0.000140439	-0.32778101	0.755	0.964	0.280877511
Gab1	0.000145701	-0.028923352	0.431	0.578	0.291401245
Scrg1	0.000148238	-0.018042179	0.481	0.602	0.296476239
Il6	0.000149951	0.03188417	0.352	0.53	0.299901184
Tap1	0.000150275	-0.104265007	0.431	0.277	0.300549417
ENSRNOG00000061528	0.000152822	0.039331288	0.106	0.301	0.305643993
Asphd1	0.000161537	0.251350672	0.37	0.217	0.32307471
Nptxr	0.000163007	0.290256047	0.417	0.253	0.326013653
Syt3	0.000164047	-0.007464209	0.347	0.518	0.328093776
Rasl11a	0.000164499	0.003945426	0.25	0.06	0.328997816
Kank1	0.000169969	0.02227474	0.306	0.048	0.339938169
Qpct	0.0001717	-0.046737717	0.296	0.53	0.343399963
Cep85l	0.000176926	0.024606465	0.315	0.096	0.353851882
Sfrp1	0.000178728	-0.074314866	0.472	0.627	0.357456531
Lsamp	0.000194309	-0.022028889	0.296	0.157	0.388618465
Tnfsf15	0.00020296	0.013538095	0.264	0	0.405920897
Nppa	0.000207125	0.153508666	0.259	0.108	0.414250741
Tgif1	0.000219129	-0.001161447	0.44	0.12	0.438257865
Mef2c	0.000221018	-0.048356884	0.273	0.12	0.442035497
Ccdc18	0.000221127	0.007968179	0.319	0.096	0.442253984
Arhgef7	0.00022152	-0.127992263	0.296	0.133	0.443040427
Reg3b	0.000230347	0.262096264	0.486	0.627	0.46069453
Ugdh	0.000235243	-0.074158298	0.338	0.205	0.470485471
Ccdc34	0.00023788	-0.039663787	0.389	0.253	0.475759591
Eif4ebp3	0.000249445	0.276094513	0.417	0.265	0.498890334
Serpine2	0.000251214	-0.082430175	0.366	0.169	0.502427042
Hmgb2l1	0.00025427	-0.088128907	0.407	0.241	0.508540616
Oasl	0.00025896	0.009565216	0.255	0.084	0.517920371
AABR07026137.1	0.000262998	-0.081682889	0.292	0.12	0.525996604
Klf13	0.000269544	0.143743847	0.412	0.253	0.539087123
Acpp	0.000271821	-0.006490879	0.417	0.253	0.543642774
Ndrg4	0.000277205	-0.405871848	0.634	0.831	0.554409661
Tox2	0.000281279	0.078365502	0.426	0.614	0.562557762
LOC100909712	0.000296275	0.048127038	0.384	0.241	0.592550822
Plac9	0.000302384	0.153339388	0.417	0.578	0.604768944
Cfi	0.000305126	-0.284030898	0.537	0.361	0.610251371
Piezo2	0.000305626	-0.32884083	0.426	0.253	0.611251908
Ttyh1	0.000316643	0.030357983	0.329	0.169	0.633286265
Tgds	0.000318483	0.001825197	0.255	0	0.636965627
Clk1	0.000320781	-0.120094885	0.319	0.59	0.641562619
Fstl3	0.000329148	0.138414814	0.417	0.277	0.658295219
Rph3a	0.000340498	0.049966686	0.5	0.349	0.680995877
Cenpe	0.000341818	-0.015766764	0.347	0.241	0.683635145
Rbl2	0.000351335	-0.004498395	0.375	0.578	0.702670276
Bmt2	0.000353062	-0.025919974	0.384	0.145	0.706124206
Sct	0.000355472	0.013847366	0.319	0.181	0.710944721
Ankrd39	0.000362567	-0.015724925	0.412	0.12	0.725134246
Pltp	0.000366276	-0.201441056	0.25	0.036	0.732552932
Matn2	0.000374173	0.036042858	0.519	0.627	0.748346774
Srd5a2	0.000375384	0.001337771	0.468	0.181	0.750768052
Metrnl	0.000377802	0.004195394	0.384	0.133	0.755604871
Agk	0.000388275	0.019531712	0.398	0.229	0.776549768
Ptchd1	0.000411284	-0.022309944	0.463	0.325	0.822568985
Birc3	0.000426557	-0.027582036	0.523	0.313	0.8531135
Syt4	0.000435324	-0.331244945	0.597	0.855	0.870647031
Lgals9	0.000437731	0.087659186	0.37	0.217	0.875462645
Usp53	0.000438191	-0.115163192	0.403	0.205	0.876382491
Plekhb1	0.000439771	0.027639212	0.319	0.181	0.879542316
Dusp18	0.000440007	0.008833176	0.329	0.205	0.880013917
Dlat	0.000442794	-0.213228599	0.273	0.518	0.885588657
Cdc25a	0.000452122	-0.082590117	0.56	0.651	0.90424347
Cdkn1c	0.00045275	-0.01640416	0.421	0.133	0.905499917
Nek8	0.00045869	-0.017858897	0.343	0.06	0.917379036
Nudt15	0.000459792	0.005217008	0.472	0.313	0.91958481
Ankrd13d	0.000477698	0.030645734	0.523	0.337	0.955395178
Slc51a	0.000480983	0.138846334	0.417	0.253	0.961966755
Hoxb2	0.000488029	-0.071243378	0.458	0.169	0.976058979
Lrat	0.000489356	0.005896637	0.394	0.096	0.978711196
AABR07026112.1	0.000489379	-0.509577122	0.292	0.205	0.978758823
Snapc2	0.000493669	-0.285921188	0.477	0.361	0.987337371
Slc4a4	0.000527583	-0.005317537	0.329	0.157	1
Mylip	0.000536974	0.383970697	0.495	0.325	1
RT1-A1	0.000540447	0.173096442	0.477	0.349	1
Mrap	0.000541614	-0.015148855	0.319	0.446	1
Giot1	0.000551004	0.008126612	0.491	0.313	1
Nfkb1	0.000560473	-0.014911731	0.315	0.12	1
Samd4a	0.000573334	-0.066236705	0.44	0.289	1
Rasal2	0.000583159	-0.04835702	0.333	0.59	1
Heatr5a	0.00059482	-0.012440065	0.347	0.205	1
Pcsk9	0.000632898	0.109478524	0.292	0.157	1
Camk2n1	0.000658569	-0.196948433	0.366	0.253	1
Parp14	0.000673473	0.020867522	0.366	0.145	1
Zfp385a	0.000675532	0.029737811	0.097	0.325	1
Aebp1	0.000676782	-0.001731943	0.278	0.024	1
Rcan2	0.000688107	-0.015961948	0.273	0.06	1
Rnf125	0.000701347	0.113771894	0.403	0.651	1
Tec	0.000710166	0.004324824	0.315	0.048	1
Edc4	0.000739954	0.040042677	0.435	0.289	1
LOC100912195	0.000753846	-0.26182228	0.644	0.855	1
Mgst2	0.000786588	-0.015540195	0.435	0.253	1
Rasd1	0.000795359	0.005541225	0.301	0.181	1
Creb5	0.000799778	-0.037930217	0.435	0.265	1
Nrp1	0.000802343	-0.119605081	0.366	0.229	1
RF00100	0.000827116	-0.102685888	0.292	0.518	1
Nr1d1	0.000827327	0.040299387	0.259	0.506	1
Ank3	0.000837978	-0.343583276	0.375	0.602	1
Cox6b2	0.000871063	0.013767459	0.375	0.072	1
AC134224.3	0.000872876	-1.137213929	0.861	0.988	1
Tpx2	0.000878981	0.202796008	0.361	0.193	1
Myo5a	0.000888967	0.037103793	0.671	0.904	1
Ccl3	0.00089352	-0.003698536	0.259	0.024	1
Marveld2	0.000902218	0.016768622	0.333	0.145	1
Plat	0.000906644	0.100330668	0.491	0.337	1
Iapp	0.000916532	-0.019657803	0.259	0.084	1
Brpf1	0.000977145	-0.003842109	0.282	0.169	1
Mrps6	0.000993509	0.295792117	0.394	0.241	1
Fam107a	0.001016655	-0.000200979	0.352	0.06	1
Cst6	0.001018671	0.201406105	0.324	0.518	1
Stx1a	0.00105818	-0.001695569	0.394	0.265	1
Ndrg1	0.001092844	-0.08388801	0.384	0.217	1
Kcnq5	0.001130635	0.055506874	0.407	0.277	1
Capn10	0.001204203	-0.017774309	0.194	0.458	1
Dgke	0.001243106	-0.077236772	0.31	0.494	1
Nfe2l3	0.001253552	-0.143209257	0.231	0.458	1
AABR07068590.2	0.001256681	-0.000416752	0.301	0.06	1
Egfl7	0.001280578	0.022267304	0.542	0.663	1
AABR07016578.3	0.001319085	0.012970562	0.394	0.229	1
Adgrf5	0.001365655	0.040645402	0.421	0.157	1
Zfp964	0.001395566	0.063071774	0.477	0.193	1
Tmem72	0.001472684	0.056596929	0.556	0.313	1
Hpcal1	0.001504227	-0.226942335	0.463	0.735	1
Nsg1	0.001527835	-0.201634931	0.463	0.349	1
Hey2	0.001538111	-0.112137997	0.306	0.181	1
Lpar1	0.001572418	-0.080677847	0.329	0.253	1
Serpinb6b	0.001587242	-0.001236044	0.338	0.096	1
Bag3	0.001594814	-0.222628539	0.296	0.518	1
Cby3	0.001623549	-0.001513391	0.352	0.446	1
AABR07001905.1	0.001623947	0.000207333	0.472	0.181	1
Rbm33	0.001654796	0.394587045	0.292	0.157	1
Gprc5c	0.001704195	-0.022322418	0.5	0.675	1
LOC100912489	0.001705388	0.228779352	0.296	0.181	1
Tspan12	0.00175037	0.229580292	0.468	0.325	1
Hmox1	0.001804814	0.084267584	0.375	0.229	1
Nupl2	0.001808961	-0.029568225	0.583	0.422	1
Dusp2	0.001858038	-0.015510109	0.375	0.108	1
MGC108823	0.001895059	0.012305066	0.356	0.47	1
Jun	0.001898474	-1.110768332	0.444	0.675	1
Csrnp1	0.001923093	-0.012753406	0.329	0.108	1
LOC100360316	0.001955177	0.062645833	0.421	0.289	1
Rbks	0.001963063	0.099621158	0.403	0.241	1
Hmgcr	0.001978167	-0.170733314	0.324	0.229	1
Phlda1	0.002027835	0.08378173	0.412	0.614	1
S1pr2	0.002131112	0.017751091	0.458	0.506	1
Cklf	0.002146438	-0.072019554	0.324	0.169	1
Dbndd2	0.002152009	-0.058134538	0.551	0.783	1
Pllp	0.002168311	-0.040943747	0.509	0.277	1
Tmem88	0.00228862	-0.008367156	0.426	0.627	1
Pla2g1b	0.00245639	-0.046447505	0.31	0.217	1
Slc43a3	0.002476965	0.028946033	0.472	0.627	1
Nasp	0.002494025	-0.058254085	0.324	0.181	1
Fam162a	0.002501186	-0.193160997	0.495	0.699	1
Tmem229b	0.002524818	0.161449256	0.384	0.566	1
Rbm27	0.002548393	-0.012453997	0.477	0.398	1
Bambi	0.002565439	0.096478871	0.25	0.41	1
Lgalsl	0.002583425	-0.30719548	0.324	0.229	1
Ado	0.002586043	-0.007088973	0.37	0.434	1
Kif11	0.002589984	0.01223795	0.287	0.024	1
Hdac1	0.002615453	-0.14792298	0.292	0.217	1
Il33	0.002665607	-0.065871644	0.329	0.241	1
Abca1	0.002671158	-0.043875505	0.431	0.265	1
Zfp37	0.002704872	0.1413309	0.556	0.47	1
LOC102550036	0.002753044	-0.038779583	0.463	0.313	1
Tomm40l	0.002774608	0.019252981	0.407	0.241	1
Slfn13	0.002782297	0.001193418	0.278	0.145	1
AABR07004269.3	0.0028438	0.008432439	0.356	0.217	1
Psmc3ip	0.002891423	-0.12134771	0.495	0.349	1
Cd83	0.002989649	0.054690228	0.509	0.398	1
Mmp14	0.002991329	0.00911813	0.5	0.651	1
Enc1	0.003012651	-0.102234043	0.458	0.325	1
